date,icon,temperatureMax,precipType
2016-01-01,cloudy,34.3,snow
2016-01-02,partly-cloudy-day,33.07,snow
2016-01-03,cloudy,32.26,
2016-01-04,cloudy,34.04,snow
2016-01-05,cloudy,37.36,rain
2016-01-06,fog,37.01,snow
2016-01-07,cloudy,37.61,snow
2016-01-08,partly-cloudy-day,42.97,
2016-01-09,cloudy,39.01,
2016-01-10,rain,41.13,rain
2016-01-11,rain,41.79,rain
2016-01-12,rain,40.66,rain
2016-01-13,rain,39.91,rain
2016-01-14,partly-cloudy-day,39.14,snow
2016-01-15,snow,34.78,snow
2016-01-16,snow,32.91,snow
2016-01-17,cloudy,31.18,snow
2016-01-18,partly-cloudy-day,23.81,
2016-01-19,partly-cloudy-day,22.73,snow
2016-01-20,cloudy,29.21,snow
2016-01-21,partly-cloudy-day,29.23,snow
2016-01-22,clear-day,25.78,snow
2016-01-23,rain,37.65,rain
2016-01-24,partly-cloudy-day,38.85,rain
2016-01-25,rain,44.09,rain
2016-01-26,partly-cloudy-day,46.81,rain
2016-01-27,partly-cloudy-day,53.92,
2016-01-28,partly-cloudy-day,52.26,rain
2016-01-29,partly-cloudy-day,48.42,rain
2016-01-30,rain,47.28,rain
2016-01-31,rain,40.23,rain
2016-02-01,rain,52.73,rain
2016-02-02,cloudy,51.11,
2016-02-03,rain,46.02,rain
2016-02-04,snow,36.78,snow
2016-02-05,rain,41.52,rain
2016-02-06,partly-cloudy-day,48.58,
2016-02-07,clear-day,50.07,
2016-02-08,rain,52.95,rain
2016-02-09,rain,47.43,rain
2016-02-10,rain,39.95,rain
2016-02-11,rain,38.3,rain
2016-02-12,snow,41.4,snow
2016-02-13,rain,38.22,rain
2016-02-14,rain,47.85,rain
2016-02-15,cloudy,43.02,rain
2016-02-16,cloudy,37.41,
2016-02-17,snow,33.67,snow
2016-02-18,partly-cloudy-day,44.79,
2016-02-19,partly-cloudy-day,37.85,rain
2016-02-20,rain,40.05,rain
2016-02-21,rain,52.34,rain
2016-02-22,partly-cloudy-day,54.29,rain
2016-02-23,rain,48.26,rain
2016-02-24,partly-cloudy-day,39.98,
2016-02-25,partly-cloudy-day,39.05,snow
2016-02-26,clear-day,38.74,
2016-02-27,clear-day,43.19,
2016-02-28,partly-cloudy-day,39.38,
2016-02-29,rain,40.39,rain
2016-03-01,cloudy,34.38,snow
2016-03-02,rain,43.99,rain
2016-03-03,partly-cloudy-day,40.97,rain
2016-03-04,partly-cloudy-day,43.99,
2016-03-05,rain,46.67,rain
2016-03-06,rain,39.26,rain
2016-03-07,rain,41.3,rain
2016-03-08,partly-cloudy-day,40.57,rain
2016-03-09,partly-cloudy-day,43.53,rain
2016-03-10,clear-day,48.24,snow
2016-03-11,partly-cloudy-day,45.53,
2016-03-12,partly-cloudy-day,44.33,
2016-03-13,cloudy,44.22,
2016-03-14,clear-day,47.1,
2016-03-15,rain,38.81,rain
2016-03-16,partly-cloudy-day,42.96,rain
2016-03-17,clear-day,53.41,
2016-03-18,clear-day,57.09,
2016-03-19,partly-cloudy-day,44.37,
2016-03-20,cloudy,42.95,
2016-03-21,cloudy,45.29,rain
2016-03-22,rain,45.25,rain
2016-03-23,rain,46.77,rain
2016-03-24,cloudy,46.18,
2016-03-25,rain,43.39,rain
2016-03-26,rain,48.08,rain
2016-03-27,rain,54.35,rain
2016-03-28,rain,56.45,rain
2016-03-29,rain,53.6,rain
2016-03-30,rain,50.47,rain
2016-03-31,rain,66.8,rain
2016-04-01,partly-cloudy-day,49.16,
2016-04-02,clear-day,60.79,
2016-04-03,clear-day,69.72,rain
2016-04-04,clear-day,68.82,
2016-04-05,clear-day,68.74,rain
2016-04-06,rain,59.21,rain
2016-04-07,cloudy,52.72,
2016-04-08,partly-cloudy-day,52.62,
2016-04-09,partly-cloudy-day,55.05,
2016-04-10,partly-cloudy-day,57.01,
2016-04-11,clear-day,59.2,
2016-04-12,partly-cloudy-day,62.4,
2016-04-13,rain,62.08,rain
2016-04-14,partly-cloudy-day,58.28,
2016-04-15,partly-cloudy-day,55.66,rain
2016-04-16,rain,56.09,rain
2016-04-17,rain,51.31,rain
2016-04-18,rain,54.09,rain
2016-04-19,partly-cloudy-day,52.55,rain
2016-04-20,clear-day,58.51,rain
2016-04-21,rain,66.64,rain
2016-04-22,partly-cloudy-day,63.31,
2016-04-23,rain,50.55,rain
2016-04-24,snow,42.22,snow
2016-04-25,rain,42.46,rain
2016-04-26,rain,42.73,rain
2016-04-27,partly-cloudy-day,46.02,rain
2016-04-28,rain,45.89,rain
2016-04-29,partly-cloudy-day,57.59,
2016-04-30,clear-day,66.32,
2016-05-01,partly-cloudy-day,61.06,
2016-05-02,clear-day,66.18,
2016-05-03,rain,64.61,rain
2016-05-04,partly-cloudy-day,57.14,
2016-05-05,partly-cloudy-day,63.92,
2016-05-06,clear-day,73.07,
